id;villes
106;Saint jean le thomas vains dragee marcey les greves
107;Champeaux, Pontorson, Beauvoir, Cancale, Céaux
108;avranches granville saint-malo cancale saint pair sur mere
109;Champeau, Saint Jean le Thomas, Avranches
110;Cancale, Avranches, Pontorson,
111;Beauvoir . st pair  .genets . st léonard .st jean le thomas
112;Beauvoir, Pontorson, Avranches, Mortain, Saint-Hilaire-du-Harcouët
113;Avranches ceaux beauvoir marcey les greves vains
114;Pontorson , Beauvoir , Huisnes , Avranches , ducey
115;le mont saint Michel,Avranches,Carolles,Cancales,Genets
116;Roz-sur-Couesnon, Mont-Dol, Le Vivier-sur-Mer, Hirel, Saint-Benoît-des-Ondes, Saint-Méloir-des-Ondes et Cancale.
117;Cancale, Avranches, Pontorson, Villedieux les poele, Granville
118;Granville, Avranches, Dragée, Courtil, Beauvoir, Carolles, Jullouvilles Saint Jean le Thomas
119;avranches pontorson st james  jullouville sartilly
120;Saint James,Avranches,Beauvoir ,Saint pair sur mer,Granville
121;Genêts, carolles,Champeaux,Avranches, vains
122;Pontorson, Sartilly, Avranches, Le Mont Dol,
123;Avranches. Pont ourson. Carolles
124;Genêts,Marcey les grèves,Vains,St Léonard,Le val saint père
125;Dol de Bretagne , Cancale , genets , Pontorson , Beauvoir
126;Avranches, Beauvoir, Granville, Genêts, Pontaubault
127;Avranches, Pontorson,  Pleine-fougeres, Roz sur couesnon...
128;avranche - granville  - cancale - pontorson - malo
129;Cancales Cherrueix
130;Carolles,Saint Jean le Thomas,Avranches,Pontorson,Champeaux
131;Granville , Villedieu les Poeles , Avranches
132;Granville,Avranches,en Normandie Cancale en Bretagne
133;Genets Cancale Saint-Jean-le-Thomas Pontorson Granville
134;Avranches, Courtils, Ceaux, Dragey, Saint Jean le Thomas, Genêts
135;Avranches, Genêts, Beauvoir, Courtils, Carolles
136;Cancale, Avranches, Pontorson.....
137;Genêts, julouville, pontorson, avancées
138;Pontaubault ,Beauvais ,Val saint Per,Carolles,Ceaux ,
139;saint  jean de thomas
140;Genêts, pontaubault, vains, courtils, saint jean le Thomas
141;Granville (départ pour les îles Chausey), Villedieu les Poêles (ah les fameuses cloches), Saint-Malô
142;Granville, Cherrueix, Saint Benoit des Ondes, Hirel, Beauvoir ...
143;Avranches Pontorson
144;Pontorçon
145;Granville Beauvoir Avranches Cancale Pontorson
146;avranches,pontorson,granville,st pair sur mer,jullouville
147;Dragey st Jean le Thomas genets  carolles vivier sur mer
148;Avranches,Genets,Saint Leonard,Cancale,Cherrueix
149;Avranches Carolles Jullouville Cherreuix le Vivier/Mer Cancale
150;Jullouville , Pontorson , Cherrueix , Saint Broladre , Cancale
151;Avranches, granville, cancale
152;Granville ,St Jean le Thomas,Dragey,Genêts,Cancale,Cherrueix
153;Pontorson Avranches Genêts St léonard le Val Saint Père
154;Mont Saint-Michel, Beauvoir, Pontorson, Avranches, Genêts
155;Le Val-saint-Père, Saint-Léonard, Genêts, Céaux, Courtils
156;La commune Mont st Michel
157;Granville courtille keron Carole Genet
158;Cancale, Cherrueix
159;Beauvoir, Marcey les grèves, Champeaux, St Jean le Thomas et Carolles
160;Courtils, Huisne, Avranches
161;Granvilke Carolles Vains Cancale St-Jean-le-Thomas
162;Avranches, Genêts, Ardevon, Saint-Jean le Thomas, Cancale
163;Avranche, Pontorson, Genet, Saint jean le Thomas, Granville, Keron, Julouville,  Saint Pair,
164;Granville Avranches Pontorson Genêts Cancale
165;Saint Père sur Mer , Jullouville , La Lucerne d'Outremer , Carole , Beauvoir
166;Saint léonard ,Oui Geney ,Pontaubault,Céau,Beauvoir
167;Avranches, Carolles, Genets, St jean le thomas, cherrueix
168;Le Vivier sur Mer . St Benoit des Ondes .Cancale . Genêts. St Léonard
169;cancale ,dol de bretagne ,pontorson ,avranches , granville
170;saint malo,cancale,granville,juliouville
171;Genêts, Avranches, Marcey-Les-Grèves, Carolles, Vains
172;Dol de Bretagne, Granville, Hirel, Pontorson, Avranches,
173;Granville-  st jean le thomas cancale
174;Genêts, Le Val-Saint-Père, Courtils, Le Mont-Saint-Michel, Beauvoir
175;Granville, avranches, dol de Bretagne, cancale
176;Carolles, St-Jean-le-Thomas, Pontorson, Courtils, Avranches
177;Avranche
178;Courtils - Carolles - Champeaux - Le Mont Saint Michel - Le Val Saint Père
179;Ducey granville
180;Cancale,Pontorson,Dol de Bretagne ,Avranches,Granville
181;Cancale granville julouville avranches pontorson
182;Marcey les grèves, Beauvoir,Pontorson,Vains
183;Granville, Cancale, Le Vivier sur Mer, Avranches, Villedieu-les-Poêles
184;Genêts,  vains, Saint léonard,  marcey les grèves, ardevon
185;St malo. Granville. Dinard.avranches. pontorson.
186;Bancale Jullouville Avranches Saint Jean le Thomas Cherrueix
187;Avranche granville
188;cancale, le vivier sur mer, dol de bretagne, saint broladre, saint marcan, pontorson,
189;LE MONT-SAINT-MICHEL, BEAUVOIR, COURTILS, AVRANCHES, GENETS
190;Dol ,Cancal,Pontorson
191;Avranches ,Granville ,Villedieu les poêles,Cancale,Mont Saint Michel
192;Avranches Granville Saint Jean le Thomas Dragey
193;Cancale,Avranches
194;Avranches, Genets, Saint Jean le Thomas, Granville
195;Cancale, cherrueix, genêts, carolles, granville
