villes,total
avranches,119
granville,95
cancale,78
pontorson,78
genets,60
beauvoir,40
carolles,34
jullouville,25
cherrueix,22
courtils,21
vains,19
champeaux,12
pontaubault,12
ceaux,8
hirel,6
ducey,5
sartilly,4
brehal,2
tanis,2
servon,1
coutances,1
mortain,1
bacilly,1
dinard,1
